"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
6802406,"61",NA,NA,NA,NA,234.4,242.4925,254.6312,264.245,268.3525,270.58,272.065,4,2005,2022,"03-02"
6802406,"91",NA,NA,NA,NA,243.125,251.8635,259.065,264.3275,271.9325,277.277,281.195,12,2005,2022,"04-01"
6802406,"92",NA,NA,NA,NA,238.9,245.7175,255.9437,264.255,268.2712,270.7665,272.43,4,2005,2022,"04-02"
6802406,"121",NA,NA,NA,NA,245.5,248.796,258.8212,266.1175,271.4375,274.841,286.075,12,2005,2022,"05-01"
6802406,"122",NA,NA,NA,NA,242.85,248.1735,256.1588,265.2875,270.3637,271.0545,271.515,4,2005,2022,"05-02"
6802406,"152",NA,NA,NA,NA,244.5,248.165,258.6688,268.0325,273.8325,275.112,283.205,12,2005,2022,"06-01"
6802406,"153",NA,NA,NA,NA,247.8,251.406,256.815,266.1025,273.13,274.471,275.365,4,2005,2022,"06-02"
6802406,"182",NA,NA,NA,NA,240.415,250.8515,260.5138,269.9525,276.165,277.6965,279.805,12,2005,2022,"07-01"
6802406,"183",NA,NA,NA,NA,252.5,255.3065,259.5162,267.245,274.7525,278.564,281.105,4,2005,2022,"07-02"
6802406,"213",NA,NA,NA,NA,238.7,255.3975,264.7013,270.31,278.8175,279.0845,279.935,12,2005,2022,"08-01"
6802406,"214",NA,NA,NA,NA,255.75,257.9895,261.3488,269.2575,277.4275,281.257,283.81,4,2005,2022,"08-02"
6802406,"244",NA,NA,NA,NA,235.1,257.265,263.0063,272.085,278.5888,279.9845,281.34,12,2005,2022,"09-01"
6802406,"245",NA,NA,NA,NA,262.85,262.8545,262.8613,269.6375,277.7188,280.0745,281.645,4,2005,2022,"09-02"
6802406,"274",NA,NA,NA,NA,234.05,259.1305,264.9287,269.7,278.7712,279.222,279.84,12,2005,2022,"10-01"
6802406,"275",NA,NA,NA,NA,260.6,261.098,261.845,268.535,277.2162,281.5475,284.435,4,2005,2022,"10-02"
6802406,"305",NA,NA,NA,NA,234.1,257.313,264.9038,269.12,277.6812,278.6255,280.2,12,2005,2022,"11-01"
6802406,"306",NA,NA,NA,NA,260.3,260.4425,260.6562,267.6025,276.8725,281.269,284.2,4,2005,2022,"11-02"
6802406,"335",NA,NA,NA,NA,233.2,256.5525,263.3663,267.7,276.1825,276.739,277.2,12,2005,2022,"12-01"
6802406,"336",NA,NA,NA,NA,259.125,259.3775,259.7562,266.6208,275.5862,279.7465,282.52,4,2005,2022,"12-02"
6802407,"1","2022-01-01",365.625,"Jan","01-01",313.1,341.802,346.9175,357.45,362.5175,366.714,369.605,15,2007,2022,"01-01"
6802407,"32","2022-02-01",366.08,"Feb","02-01",318.25,338.727,344.6675,353.7,360.61,364.606,370.14,15,2007,2022,"02-01"
6802407,"60","2022-03-01",368.625,"Mar","03-01",333.49,340.5,347.525,349.7,359.8825,368.625,370.515,11,2007,2022,"03-01"
6802407,"61",NA,NA,NA,NA,324,329.0175,336.5438,347.2625,354.2737,355.1265,355.695,4,2007,2022,"03-02"
6802407,"91",NA,NA,NA,NA,332.79,340.422,343.1688,352.5025,358.7587,365.4715,374.125,10,2007,2022,"04-01"
